Best Epoch: 18
Best Val Dice: 0.1208

Epoch	Train Loss	Val Loss	Train Dice	Val Dice
1	0.9623	0.7622	0.0135	0.0047
2	0.9181	0.7103	0.0264	0.0536
3	0.9057	0.7105	0.0377	0.0828
4	0.8962	0.6958	0.0460	0.0760
5	0.8878	0.7124	0.0539	0.0431
6	0.8852	0.6743	0.0577	0.0919
7	0.8735	0.6785	0.0684	0.0670
8	0.8687	0.6717	0.0727	0.0727
9	0.8604	0.6837	0.0858	0.0612
10	0.8590	0.6904	0.0871	0.0564
11	0.8582	0.6547	0.0891	0.1038
12	0.8560	0.6382	0.0883	0.1164
13	0.8482	0.6806	0.0956	0.0749
14	0.8453	0.6833	0.1008	0.0771
15	0.8368	0.6685	0.1112	0.0843
16	0.8323	0.6557	0.1152	0.0934
17	0.8268	0.6330	0.1213	0.1175
18	0.8247	0.6334	0.1235	0.1208
